client,frame,io_time_ms,cpu,ram,frame_size_bytes,cipher_mode
127.0.0.1:52597,1,0.0,0.0,51.74609375,3481,CHACHA20-LIB
127.0.0.1:52597,2,0.0,0.0,51.75,2991,CHACHA20-LIB
127.0.0.1:52597,3,0.0,0.0,51.75,3443,CHACHA20-LIB
127.0.0.1:52597,4,0.0,0.0,51.75,3160,CHACHA20-LIB
127.0.0.1:52597,5,0.0,0.0,51.75,3350,CHACHA20-LIB
127.0.0.1:52597,6,0.0,0.0,51.75,3190,CHACHA20-LIB
127.0.0.1:52597,7,0.0,0.0,51.75,3416,CHACHA20-LIB
127.0.0.1:52597,8,0.0,0.0,51.75,3206,CHACHA20-LIB
127.0.0.1:52597,9,0.0,0.0,51.75390625,3375,CHACHA20-LIB
127.0.0.1:52597,10,0.0,0.0,51.75390625,3246,CHACHA20-LIB
127.0.0.1:52597,11,0.0,0.0,51.75390625,3943,CHACHA20-LIB
127.0.0.1:52597,12,0.0,0.0,51.75390625,3851,CHACHA20-LIB
127.0.0.1:52597,13,0.0,0.0,51.75390625,3944,CHACHA20-LIB
127.0.0.1:52597,14,0.0,0.0,51.75390625,3910,CHACHA20-LIB
127.0.0.1:52597,15,0.0,0.0,51.75390625,3853,CHACHA20-LIB
127.0.0.1:52597,16,0.0,0.0,51.75390625,3900,CHACHA20-LIB
127.0.0.1:52597,17,0.0,0.0,51.75390625,3892,CHACHA20-LIB
127.0.0.1:52597,18,0.0,0.0,51.75390625,3821,CHACHA20-LIB
127.0.0.1:52597,19,0.0,0.0,51.75390625,3631,CHACHA20-LIB
127.0.0.1:52597,20,0.0,0.0,51.75390625,3804,CHACHA20-LIB
127.0.0.1:52597,21,0.0,0.0,51.75390625,3860,CHACHA20-LIB
127.0.0.1:52597,22,0.0,0.0,51.7578125,3782,CHACHA20-LIB
127.0.0.1:52597,23,0.0,0.0,51.7578125,3862,CHACHA20-LIB
127.0.0.1:52597,24,0.0,0.0,51.7578125,3844,CHACHA20-LIB
127.0.0.1:52597,25,0.0,0.0,51.7578125,3782,CHACHA20-LIB
127.0.0.1:52597,26,0.0,0.0,51.7578125,3826,CHACHA20-LIB
127.0.0.1:52597,27,0.0,0.0,51.7578125,3825,CHACHA20-LIB
